id,loss
4,1598.5701904296875
6,2010.5565185546875
9,8806.7509765625
12,5325.5419921875
15,886.2640991210938
17,2343.69677734375
21,2074.898681640625
28,915.7860107421875
32,2290.64111328125
43,3086.767333984375
46,2602.888427734375
50,1012.1067504882812
54,1258.8072509765625
62,1797.2728271484375
70,2079.730712890625
71,4345.23388671875
75,2058.260009765625
77,2286.52490234375
81,2372.353759765625
83,2319.097412109375
87,1985.17236328125
97,1710.23974609375
103,1345.84423828125
119,1260.5413818359375
120,1875.9732666015625
127,1062.4083251953125
138,3939.88134765625
141,2922.986083984375
148,915.4751586914062
150,2502.801025390625
151,2054.113525390625
158,1599.830810546875
160,5933.14501953125
165,2363.678466796875
168,3430.37451171875
169,3372.51171875
177,2724.50439453125
178,3093.970458984375
184,1858.434326171875
194,8346.6884765625
198,1667.8944091796875
203,4142.294921875
211,2531.029541015625
217,1204.620361328125
219,1451.1868896484375
221,3886.385986328125
227,1766.6712646484375
230,1456.51806640625
235,1879.1363525390625
240,748.3307495117188
243,2807.139892578125
249,6936.8798828125
253,2694.752685546875
258,1415.794189453125
261,1543.082763671875
263,3614.755615234375
264,2686.453125
265,4308.7802734375
268,1570.658203125
271,1184.9478759765625
274,5318.1474609375
275,750.6240234375
279,1675.30322265625
282,1463.4149169921875
286,2856.75146484375
288,1307.8555908203125
294,2458.37353515625
296,1071.319580078125
297,1566.33447265625
300,826.4794311523438
303,8301.123046875
314,1135.16845703125
315,4443.64794921875
321,2406.08935546875
323,4236.14111328125
330,3864.837890625
341,1729.4599609375
342,3894.953369140625
352,1692.8201904296875
353,3530.02001953125
360,4722.8916015625
361,2081.703125
362,3910.510986328125
366,1198.0367431640625
372,3635.876708984375
376,2717.27392578125
377,2351.89501953125
379,1530.5196533203125
380,3775.082275390625
387,1812.389404296875
392,2001.708984375
394,9547.501953125
395,1563.0897216796875
397,1523.890625
407,5705.71875
411,7875.431640625
416,2562.39990234375
417,1574.3045654296875
419,3240.440673828125
428,5170.8515625
431,1898.160888671875
436,8582.322265625
438,1411.081787109375
445,6752.8662109375
446,7536.27685546875
455,1351.629150390625
456,1252.3048095703125
461,909.595703125
463,1831.4183349609375
464,3705.173828125
466,1657.028564453125
467,1529.2364501953125
470,1246.9176025390625
475,1431.8692626953125
482,2973.099365234375
490,3054.98046875
496,1601.4136962890625
497,4081.798095703125
508,2805.394775390625
510,1709.19140625
512,1857.14453125
513,3116.556884765625
523,1858.87841796875
531,4787.85986328125
532,2041.5921630859375
533,1390.6949462890625
537,1144.9263916015625
544,4645.5654296875
